id,tweet,label,length
train_yoruba_02686,ẹ káàsán ẹ kú u bójú ọjọ́ ṣe rí i want to appreciate the efforts of every language activist that has handled this account before now i say welldone to you sàdánkátà yín o,Normal,170
train_yoruba_01550,"""@username since you don't regards your parents... you will not see the happiness of your parents mumu ógẹdè akamu""",Abuse,115
train_yoruba_03332,"""president @username was received by the working gov of ogun state prince @username as he commissioned one of our legacy projects, the 14-kilometer ijebu-ode-mojoda-epe road in ogun state.  ##url",Normal,195
test_yoruba_00732,kò sí ohun tó pọ̀ tí kì í tán àfi ọlá ọlọ́run nothing but the grace of god can be so much in abundance and not be exhausted ultimately only the blessings from god endure,Normal,169
train_yoruba_01952,"""aww. does it happen at ìbàdàn or ijebu ode tóo? seeing as you're a ""yoruba bea"" ##url",Normal,86
train_yoruba_00188,"""@username oloriburuku ni omo eran""",Abuse,35
train_yoruba_01512,"""@username oro rirun! awon oloriburuku eda""",Abuse,43
train_yoruba_02688,ọ̀pàpà paradà ó dèèmọ̀ gòdògbò taani ò mọ̀ pẹ́nu àgbà òṣèlú lèèmọ̀ ti ń gbó àgbà òṣèlú àgbà ọ̀jẹ̀lú   atelewo yorubaliterature yoruba politicians,Abuse,145
train_yoruba_01867,"""illusion of time ni gbogbo eleyi jare. ##url",Normal,45
train_yoruba_01114,a kú oríre ti àṣeyọrí a tún gba ife ẹ̀yẹ àgbáyé bọ́ọ̀lù àwọn ẹyinníídàkùkọ lẹ́ẹ̀karùnún,Normal,87
train_yoruba_00614,"""pls advice should i join soldier after nysc.comment plswoliarole #woliagba_ayoajewole #woliagbaye_official #iamlizzyjay #ijebu #gorosoekiti #gbengaadeyinka #davidoofficial #omobabacomedian #aycomedian #asiricomedy… ##url",Normal,221
train_yoruba_02731,"""the fastest way to my heart👇  lagos: sebiotimo agege abuja: biobak garki2  ibadan: amala skye/ farayola  ijebu ode: iya adams  amala 2 gbegiri&amp; ewedu  efunmi ni ogbufe 1 or 2  inu eran 6 ponmo   🤤😁 ##url ##url",Normal,214
train_yoruba_01597,ọwọ́ epo ni ọmọ aráyé ńbá ni lá wọn ò jẹ́ bá ni láwọ́ ẹ̀jẹ̀ bí àṣà bá ṣì ń bẹ a jẹ́ wípé ọ̀dàlẹ̀ nìdílé ifẹ̀,Abuse,108
train_yoruba_00538,àbọrú àbọye àbọ ṣíṣẹ là á kí babaláwo ojú gboro ni ti onídìrí báwo la ṣe ń kí àwọn tí ó ńta ayò ibeere yoruba,Normal,109
train_yoruba_02271,"""call a man a lion ( ękùn),he will be so happy but call him an animal (ęranko),he will be very angry. is lion not an animal?  @username """,Normal,137
dev_yoruba_00700,"""rederede po lowo eyin omo wal-asr yii sha. ewo tun ni vabbing😫""",Abuse,64
train_yoruba_00362,baba ọbáfẹ́mi awólọ́wọ̀ awọn ọmọ ati àgbaye ń ṣe ìranti rẹ́ oodi ọdún kẹrìndinlọ́gbọ̀n ti ẹ jẹ pè olúwa,Normal,112
dev_yoruba_00118,"""@username don't mind her. oloriburuku, omo ale jatijati ni""",Abuse,60
train_yoruba_00099,"""yahoo boys singing “anu mori gba,ade ori okin” will forever be funny to me 😂😂😂😂😂 anu werey wo lo ri gba, onijibiti omo""",Normal,120
train_yoruba_02967,gazette ní èdèe gẹ̀ẹ́sì ni àwọn tèmi sọ di gèsẹ́ẹ̀tì wọ́n á ní mo gèsẹ́ẹ̀tìi rẹ̀ ìwé ìròyìn pélébé tí ó ní ọ̀rọ̀ tí ó pọ̀ nínú ni gazette,Normal,137
train_yoruba_00481,kí ni ìyàtọ̀ tó wà láàárín igún àti àkàlà  learnyoruba language yoruba inyoruba biodiversity,Normal,92
test_yoruba_00209,àwọn ọlọ́pọlọ pípé ènìyàn ni oníṣòwò ẹrú rù lọ sí ọ̀hún,Normal,56
