text,label
біздің сарбаздарымыз өз істерінің әділдігімен қаруланып басқыншы армия арасында көптеген шығындарға ұшырады және өз жерлері мен халқын қорғау үшін күресетін болады,violent
біздің еркін болғанымызды ештеңе жеңе алмайды тағы бір рет вашингтон мен еуропа түрмешіге басқыншыға және агрессорға көмек көрсетіп оның құрбандарын айыптауды таңдады,violent
біз барак обама джордж буштың қасіретті мұрасынан басталады деп үміттенген едік бірақ оның бастамасы көңіл көншітпейді ол тез арада мумбайдағы шабуылдарды жоққа шығаруға көшкен кезде газада күндік қырғыннан кейін ол тілмен байланыста қалады бірақ менің халқым жалғыз емес бостандықты сүйетін миллиондаған ерлер мен әйелдер оның әділеттілік пен азаттық үшін күресуінде тұр,violent
израильдің агрессиясына қарсы күн сайынғы наразылықтар араб және ислам аймағында ғана емес бүкіл әлемде болып жатыр,violent
израиль сөзсіз газаның жойылуын өлімі мен қайғы қасіретті жеңетіні сөзсіз бірақ ол ливандағыдай газадағы тағдырмен кездеседі бізді қоршау және бомбалау арқылы сындырмайды және ешқашан басқыншылыққа берілмейміз халид миш ал хамас саяси бюросының басшысы,violent
алькаиданың аға қайраткері әбу йехя әл либи әлемдегі мүжахедтер газада палестиналықтардың қырылуына жауаптылардан кек алуға дайын деп мәлімдеді,violent
бұл алькаиданың сахаб деп жариялаған жаңа бейне таспасында сәрсенбі күні содырлардың исламшыл сайттарында шығыс пен батыстағы мужахидтер еврейлердің қолымен газадағы мұсылмандарға не болып жатқанын және болып жатқан оқиғаларды өшіруге және кек алуға дайындалып жатыр,violent
өткен жылдың қаңтар айында жүзден астам мұсылман ғалымдарының газа соғысы туралы мәлімдемесіне жауап ретінде қабылданды онда мұсылмандарды газадағы жиһадты қолдауға шақырған және израиль үкіметімен қызметтес болған жолдан тайғандар деп атаған аль либи ғалымдарды ауғанстан ирак сомали және шығыс түркістан сияқты басқа мұсылман жерінде жиһадты заңдастыратын діни қаулылар шығаруға шақырды,violent
аль либи ғалымдардан мұсылман халқына америка құрама штаттары мен израильдің бір құрылым құрғанын және израиль армиясына қарсы соғысу мен ақш мүдделеріне қай жерде болмасын шабуыл жасау арасында ешқандай айырмашылық жоқ екенін түсіндіруді сұрады неліктен ақш израиль сияқты қолдау үшін ақы төлеуден босатылуы керек неліктен біз оны өз жерімізде және әскери саяси экономикалық және қаржылық нысандарды бомбалау арқылы нысанаға алмауымыз керек,violent
бұл олар шақырған әділдер үшін жеңіс алькаиданың жетекшісі усама бен ладеннің өзі ислам әлеміндегі адал ғалымдар комитеттеріне үндеу жіберді ол газа туралы наурыздың ортасында шығарды ол олардан мұсылман елдеріндегі жастар арасында шынайы ислам деп атаған және аймақтың болашағы туралы хабардар болу үшін кеңесші орган құруды сұрады,violent
ал либи былтыр ақпанда сомалилерді жаңадан сайланған президентке қарсы бүлік шығаруға шақырған видео мәлімдемесін жариялаған болатын оның бүгін шығарған видеосы минуттан астам уақытты қамтиды ол қоңыр фонда қарсы отырды дәстүрлі көйлегінің үстіне әскери куртка және басына ақ шалбар киді дереккөз,violent
қауіпсіздік қызметкерлері қағазға бұл бейнефильм германиядағы ықтимал террористерді ынталандыру үшін сигнал жіберуді мақсат еткенін айтты,violent
барлар мен дискотекалар сияқты көпшілік орындарды таңдау арқылы ең көп адам өлтіруге бағытталған нысаналарға американдық әскери әуе күштерінің рамштейндегі базасы және дортмунд дюссельдорф франкфурт кельн және мюнхен сияқты қалалар кірді,violent
айыпталушылардың бірі мәлімдегендей әлем күйеді сот ісіндегі іс қағаздары шамамен папканы толтырады ал айыптаушының өзі куәгерді шақыруды жоспарлап отыр бұл іс екі жылға дейін созылуы мүмкін деген болжам бар,violent
комментаторлар бұл ең керемет сынақтардың бірі болады деп үміттенеді өйткені солшыл террористік қызыл армия фракциясының raf мүшелері жылдары докта тұрған германиялық dpa сым қызметі ер адамдар селек үшін жылдан бастап шнайдер үшін түрмеде өмір сүруге дейін түрмеге қамалатынын айтты,violent
қатардағы үш ер адам жылы ауғанстан пәкістан шекаралас аймағындағы оқу жаттығу жиындарына бара жатқанда бақыланған онда оларды өзбекстанда орналасқан ислам жиһад одағы террористік ұйымы деп жалдады деп болжанған,violent
осы күндері израильдің газаға жасаған шабуылдары жүздеген адамдарды өлтіріп жарақаттады ал бүкіл әлем соның ішінде араб сатқындары мен билеушілері тек бос мәлімдеме жасайды және мен осыған байланысты бірнеше мәселеге назар аударғым келеді,violent
ал исламның қалған бөлігінде біз шейх осама бен ладеннің антына қол жеткізуге дайынбыз мен ұлыбританиямен ант етемін көкті байқаусызда көтерді америка да америкада тұратын ешкім де палестина мен шындық алдында өмір сүрмес бұрын қауіпсіздік туралы армандай бермейді,violent
барлық имансыз армиялар мұхаммедтің жерінен кетсін және сіздермен бірге болған кезде иерусалимнің қазыналарын босатып исламның туын көтеріп оның жиектерінде жиһад жасайтын күнді тілейміз,violent
израиль ұшақтары әуеден бомба тастап жатқан кезде ол және оның әскерлері газадағы мұсылмандарды өлтіру жоспары аяқталғанға дейін шекараларды жауып тастайды,violent
