text,annotations
Ni som bor i hyreslägenhet! Varför i helvete gör ni det? Inte råd?: Hej!  Tycker de är allt för mycket folk som söker bostad och gnäller att det inte finns något.. Köp en för helvete! Vad gör ni av era pengar egentligen? Så min fråga är varför köper inte fler personer lägenhet? Varför super ni upp hela lönen istället för att spara till kontantinsats? Eller trivs ni så bra i hyresghetton?,"{'annotator 1': {'category': None, 'comment': None, 'hate_speech': 'No', 'misogyny': None, 'rating': None}, 'annotator 2': {'category': None, 'comment': ""the use of 'hyresghetton' (rental-ghettos) is pretty classist"", 'hate_speech': 'Yes', 'misogyny': 'No', 'rating': None}, 'annotator 3': None, 'annotator 4': None}"
Liten tjej som klarar dubbel anal?: Något tips på porrstjärna 150-155 cm lång/kort som klarar av att ta 2 kukar i röven?,"{'annotator 1': {'category': None, 'comment': None, 'hate_speech': 'No', 'misogyny': None, 'rating': None}, 'annotator 2': {'category': 'Violence against women (Intent to assert power over women through threats of violence. Includes: Rape and sexual violence/Domestic and other violence/Degrading language)', 'comment': ""This also contains sexualization. I chose violence against women since it's about looking for pornography with a 'small girl' who 'can take' being double penetrated anally. This is sexual violence against women/girls."", 'hate_speech': 'Yes', 'misogyny': 'Yes', 'rating': '9'}, 'annotator 3': None, 'annotator 4': None}"
Juridiska möjligheter att förhindra byggandet av fula bostäder?: Hur kan jag med juridiska styrmedel förhindra att det inte byggs som det gjorde på östermalm på 1800 talet eller tidigt 1900 tal?,"{'annotator 1': {'category': None, 'comment': None, 'hate_speech': 'No', 'misogyny': None, 'rating': None}, 'annotator 2': {'category': None, 'comment': None, 'hate_speech': 'No', 'misogyny': None, 'rating': None}, 'annotator 3': None, 'annotator 4': None}"
Är singeltjejer med 180-sängar slampor?: En vana som jag har fått när jag är på besök hos en singeltjej är att kolla in bredden på hennes säng. Är den 90 eller 120 bred så känns det som att hon har den för sig själv.  Men det finns singeltjejer som har 180 eller större. Betyder detta att de behöver plats för en ny man att sova över varje natt?,"{'annotator 1': {'category': 'Sexualization and objectification (Outsized focus on appearance, using degrading language. Includes: Dehumanization/Sexual harassment)', 'comment': None, 'hate_speech': 'Yes', 'misogyny': 'Yes', 'rating': '6'}, 'annotator 2': {'category': 'Stereotype (A widely held but fixed and oversimplified image or idea of a particular type of person or thing. Includes: Gender essentialism/Benevolent sexism/Intersectional, identity-based misogyny/Transmisogyny and homophobia )', 'comment': None, 'hate_speech': 'Yes', 'misogyny': 'Yes', 'rating': '6'}, 'annotator 3': None, 'annotator 4': None}"
"Kulturberikare i Skåne: Jag funderar på att flytta till det lilla samhället Blentarp utanför Sjöbo i Skåne. Någon som känner till om det finns många ""kulturberikare"" även där ? Finns det andra samhällen i Skåne som klarat sig ? Alla skånska städer kan ju idag anses vara förlorade för vanliga, ""normala"" människor.","{'annotator 1': {'category': None, 'comment': None, 'hate_speech': 'Yes', 'misogyny': 'No', 'rating': None}, 'annotator 2': {'category': None, 'comment': 'this is racist/xenophobic', 'hate_speech': 'Yes', 'misogyny': 'No', 'rating': None}, 'annotator 3': None, 'annotator 4': None}"
"Sossar sprider kärringdynga i Uddervalla : Vill stoppa Alexander Bards att föreläsa: På onsdagen ska medieprofilen Alexander Bard föreläsa för Uddevallas ledande politiker. Det har fått oppositionen i staden att gå i taket.   Jag känner att det är en provokation mot allt det som vi i S-kvinnor står för, säger [NAME] (S). En handlade om en uppmärksammad tweet sommaren 2020 då han reagerade på black lives matter-rörelsen. På mikrobloggen skrev han bland annat att svarta människor ska ta tag i sina liv och sluta leva på bidrag.   Sånt tjafs. Tonalitet och etikett är kärringdynga, det får andra diskutera. Jag diskuterar verkligheten. https://www.svt.se/nyheter/lokalt/va...ds-forelasning","{'annotator 1': {'category': 'Erasure and minimization (Asserting the superiority of men over women to highlight gender inequality but without using a stereotypical picture. Includes:  Phallocentrism/Trivialization/Lacking autonomy or agency)', 'comment': None, 'hate_speech': 'Yes', 'misogyny': 'Yes', 'rating': '5'}, 'annotator 2': {'category': 'Erasure and minimization (Asserting the superiority of men over women to highlight gender inequality but without using a stereotypical picture. Includes:  Phallocentrism/Trivialization/Lacking autonomy or agency)', 'comment': 'a bit hard to label, I was first thinking stereotype, but I chose minimization because the author says \'\'this is \'kärringdynga\' ( ≈ shit women say), ""I discuss the real world""', 'hate_speech': 'Yes', 'misogyny': 'Yes', 'rating': '6'}, 'annotator 3': None, 'annotator 4': None}"
Marknaden för billiga begagnade bilar har fullkomligt FÖRINTATS? Från Blocket till Marketplace?: Tidigare om jag sökte på bilar i spannet 0 till 10 000 kr på Blocket.se då kom det upp precis allt möjligt och väldigt mycket bilar i länet jag bor. Idag kommer det upp 2 bilar i det spannet.  Utökar jag till 0-20 000 kr så kom det upp 24 bilar. Tidigare har det funnits 100-tals bilar i den priskategorin i länet där jag bor.  Det är alltså slut på att köpa en billiga bilar numera?  Varför har alla billiga bilar försvunnit och vad har hänt?,"{'annotator 1': {'category': None, 'comment': None, 'hate_speech': 'No', 'misogyny': None, 'rating': None}, 'annotator 2': {'category': None, 'comment': None, 'hate_speech': 'No', 'misogyny': None, 'rating': None}, 'annotator 3': None, 'annotator 4': None}"
"Svenska ""familjer"" föder slampor: När fan ska ni ta ansvar för era döttrar? Inte nog med att de knullar fittan blå varje helg genom att ta hem nya snubbar. De vill nu hora sig ännu mer och protesterar för detta s.k ""Femen Sverige rörelsen"". Som vill att kvinnor ska rövknullas på öppen gata utan att någon ska vända huvudet. http://www.expressen.se/kvallsposten...rs-frigorelse/  Hur jävla inkapabla är ni svenska föräldrar? Ni har ju inte koll på era barn. Skäms ni inte vilka slynor de växer upp att bli?  Ge fan i att klaga på muslimska familjer. De har iaf skam, heder och moral i kroppen och de skulle aldrig tillåta ens dotter bli gängknullad som era döttrar blir varje helg. Ni har fan ingen skam i kroppen. Istället för att klaga på muslimer som faktiskt BRYR sig om sina barn. Ni är bara jävligt AVUNDSJUKA att ni exploderar!  Ta fan och se över er föräldrar roll! Ge fan i att förespråka svensk kultur på andra nationaliteter. För svensk kultur försvann på 70-talet när ni lät horor styra landet... vem fan vill bli PÅTVINGAD att låta sin dotter bli en SLAMPA som ni förespråkar..... ni är inga män ni är små pojkar som hade sålt sin egen dotter för lite knull. Kolla hur många av er som skiljer er (över 50%). Högsta skilsmässosiffran i världen. Ni är INGA förebilder, tvärtom! Ni borde skämmas över er existens att ni tillåter era fruar styra er att avla fram slampor! Hela världen skrattar åt er! Man up ffs det är på grund av detta som invandrarna inte vill bekänna sig med svensk kultur för ni förstör bara familjer fattar ni inte det!!!","{'annotator 1': {'category': 'Sexualization and objectification (Outsized focus on appearance, using degrading language. Includes: Dehumanization/Sexual harassment)', 'comment': None, 'hate_speech': 'Yes', 'misogyny': 'Yes', 'rating': '9'}, 'annotator 2': {'category': 'Sexualization and objectification (Outsized focus on appearance, using degrading language. Includes: Dehumanization/Sexual harassment)', 'comment': ""This contains a lot of sexualized slurs and prejudices against swedish girls/women, it was hard to label (I almost chose Violence or stereotype). Anyways it's extremely misogynistic."", 'hate_speech': 'Yes', 'misogyny': 'Yes', 'rating': '10'}, 'annotator 3': None, 'annotator 4': None}"
"Två flickor, 13 resp 14 år våldtagna, Emporia/Malmö: ""Våldtäkterna ska ha skett vid två tillfällen under sommaren. Först utsattes en flicka under juni och sedan en annan flicka nu i juli.""  ""17-åringen sitter nu anhållen i polisarresten på Davidhalls torg."" http://www.sydsvenskan.se/malmo/tva-...na-pa-emporia/  Är det någon som läst om detta tidigare? Har medias tystnad om den första våldtäkten underlättat för våldtäkt nummer två?","{'annotator 1': {'category': None, 'comment': None, 'hate_speech': 'No', 'misogyny': None, 'rating': None}, 'annotator 2': {'category': None, 'comment': None, 'hate_speech': 'No', 'misogyny': None, 'rating': None}, 'annotator 3': None, 'annotator 4': None}"
"Särartsfeminism - litteratur och organisation [ihopslagen tråd]: Vill läsa in mig på den sunda inriktningen inom feminism. Några tips? Rigmor Robért lär vara en go gumma, va?","{'annotator 1': {'category': None, 'comment': None, 'hate_speech': 'No', 'misogyny': None, 'rating': None}, 'annotator 2': {'category': 'Erasure and minimization (Asserting the superiority of men over women to highlight gender inequality but without using a stereotypical picture. Includes:  Phallocentrism/Trivialization/Lacking autonomy or agency)', 'comment': 'Trivializing the woman exxpert by calling her a \'nice old lady"". Also saying that \'särartsfeminism\' is the only good version of feminism could be seen as anti-feminist since it\'s often quite conservative.', 'hate_speech': 'Yes', 'misogyny': 'Yes', 'rating': '4'}, 'annotator 3': None, 'annotator 4': None}"
